innings,over,ball,start_time,end_time,bowler,batsman,runs,comment
1,5,6,2330.44,2340.04,Tyagi,Pandey,1,"on the middle stump line, pushed to mid-on for a single"
,,,,,,,,
1,6,1,2390.08,2405.32,Balaji,Pandey,1,"back of length, just outside off, run down to third man"
,,,,,,,,
1,6,2,2433.4,2440.16,Balaji,Dravid,0,"shortish, in the zone outside off, Dravid goes for the cut but doesn't connect. He went too hard at that shot."
,,,,,,,,
1,6,3,2464.6,2478.44,Balaji,Dravid,4,"Bosh! Full in length and around off stump, Dravid leans forward to knife through the line and on the up and the ball flies over mid-off"
,,,,,,,,
1,6,4,2502.8,2509.04,Balaji,Dravid,4,"**edged** past the diving Hayden at lone slip. It was a length delivery outside off, Dravid wanted to drive it over cover.. slightly slower in pace this one, and he edges it wide of Haydos"
,,,,,,,,
1,6,5,2539.92,2549.92,Balaji,Dravid,1,"this time he leans across, gets close to the line of the ball outside off and opens the bat-face to guide it past Hayden"
,,,,,,,,
1,6,6,2575.04,2591.96,Balaji,Pandey,4,"byes, pushes it to the pads, Manish plays the leg glance and it gets away past the diving fielder near the boundary"
,,,,,,,,
1,7,1,2673.04,2685.12,Muralitharan,Dravid,1,"bye, Murali starts from round the stumps. Off break on the middle and leg line, tries to flick it and the ball rolls towards midwicket"
,,,,,,,,
1,7,2,2704.24,2713.04,Muralitharan,Pandey,0,"on the middle stump line, worked to Suresh Raina at short straightish midwicket"
,,,,,,,,
1,7,3,2722.56,2730.72,Muralitharan,Pandey,1,"spins down the leg side, past the attempted glance .. wide"
,,,,,,,,
1,7,3,2744.04,2752.6,Muralitharan,Pandey,0,"quicker, on the middle stump line, length delivery, Manish pulls it to left of short midwicket where Raina makes a diving stop"
,,,,,,,,
1,7,4,2764.36,2778.08,Muralitharan,Pandey,1,"on the off stump line, tapped to right of Raina and calls Dravid for a quick single"
,,,,,,,,
